Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2024-07-05,506.63482666015625,506.8932018435149,503.30588076780555,503.9418718881574,3156900
2024-07-08,507.12176513671875,507.9962378136983,506.1181351864954,507.2907097643874,3143400
2024-07-09,507.6782531738281,508.79120732903556,507.3304474188942,507.9962184140829,3140600
2024-07-10,512.5672607421875,512.9349298153005,508.4731667512154,508.7613521027324,3446900
2024-07-11,508.17510986328125,513.5411258290405,507.61860245996246,512.7561140780564,5537800
2024-07-12,511.3152160644531,514.7733799274343,508.9501733285482,509.26816889361845,5238200
2024-07-15,512.8654174804688,515.8565045721398,511.1065859740334,513.3324943255689,7771500
2024-07-16,515.7769775390625,516.1347604555566,513.3523144346915,514.0777664543874,4164300
2024-07-17,508.5726013183594,511.87170683562084,508.3440363137762,510.3314631600497,4984300
2024-07-18,504.74676513671875,510.95747361988924,502.68977120891867,510.0233806379624,5055900
2024-07-19,501.3780822753906,505.9988738315546,500.3943157166924,504.4486833584494,4039400
2024-07-22,506.58514404296875,507.11181091256674,503.25619821027544,505.0746803220648,4342900
2024-07-23,505.7405090332031,508.43346390291714,505.2933258651217,506.4559839066974,3116000
2024-07-24,494.16375732421875,501.5271774383058,493.4283887686488,501.2588554052453,6157400
2024-07-25,491.66949462890625,499.97695408080597,490.8149156963823,494.42206971650023,5646600
2024-07-26,497.1846008300781,499.7285349761909,494.5413499325198,495.2269842633394,3636000
2024-07-29,497.55230712890625,499.6092708012409,495.634417236243,498.6652612749895,3096200
2024-07-30,494.94873046875,499.8477603164001,491.8086229792591,498.89377366887726,3817800
2024-07-31,502.7494201660156,505.45232186458264,500.1458958739741,501.30855391144064,5367600
2024-08-01,495.8927917480469,506.69445144412805,492.6334130422087,504.6474042869951,6939200
2024-08-02,486.8301086425781,490.41739926281906,482.7459310239548,489.31439200586675,8561200
2024-08-05,472.2126159667969,478.155002641965,465.94228688989125,467.2142388185094,15244300
2024-08-06,476.9228210449219,483.79930092637807,472.9479673663882,474.38886395514743,8255000
2024-08-07,473.6137390136719,485.47867968614963,473.1168823031853,482.6466206969577,5976400
2024-08-08,484.663818359375,485.2004017285906,476.62468107580656,478.46302649469703,4177200
2024-08-09,486.7406921386719,488.1219379591768,482.76583864260806,483.8688459314175,7661300
2024-08-12,486.9891357421875,489.25480109291044,484.912278364502,487.8536615525556,3578100
2024-08-13,495.07794189453125,495.246886514954,489.82121987096104,490.0398380308295,3247900
2024-08-14,496.6579284667969,497.7013456970999,493.3588231374327,495.78348617785025,3700500
2024-08-15,505.18402099609375,505.3926923180031,501.3184613301813,501.91469543279146,4279000
2024-08-16,506.247314453125,506.903138624338,503.46489867891967,503.65370665496573,3449300
2024-08-19,511.1164855957031,511.1164855957031,505.8597633121367,506.6547219369444,3804300
2024-08-20,510.2718200683594,512.2393531501293,509.02967834472656,510.6891627050936,3156000
2024-08-21,512.0604858398438,513.4119214624969,509.6258759606174,511.2356867629,3344100
2024-08-22,507.916748046875,514.3758853128659,506.8932244316009,513.7995145436472,3677100
2024-08-23,513.4119262695312,514.2963457307125,509.0296769670537,511.09661777199096,5102800
2024-08-26,512.1499633789062,515.0316958457646,510.64944644185584,514.385818527145,3398600
2024-08-27,512.8356323242188,513.3424358662755,509.933945505277,511.02706664439717,3031800
2024-08-28,509.9041748046875,512.9846621627073,506.9528447183531,512.557372667979,3940400
2024-08-29,509.9836730957031,514.8329993136433,508.9104456470895,511.7524513994001,3487100
2024-08-30,514.7832641601562,515.3199082091858,508.90049785731753,512.1797399231942,5637700
2024-09-03,504.3691711425781,512.1896907525652,501.92464466849884,511.8816420244617,5866400
2024-09-04,503.1170959472656,506.32680123365736,501.8451439737664,502.5009984746573,3601400
2024-09-05,501.87493896484375,505.74049863506235,499.67884084893836,503.1767010887007,3425600
2024-09-06,493.5178527832031,503.7530889892053,492.68310681476834,502.16314143492696,7411400
2024-09-09,499.0726623535156,500.20547979330064,495.61452900828715,497.4529047549666,3656800
2024-09-10,501.129638671875,501.537064791289,496.3598266422397,500.78186325412736,2975400
2024-09-11,506.2572326660156,507.231082739117,493.13028682187024,501.13961459588114,5956900
2024-09-12,510.6097106933594,510.9078125775522,504.86601823495414,506.88325518659434,4099500
2024-09-13,513.3225708007812,514.2765575596753,510.99725461098905,511.19600943385734,4416600
2024-09-16,514.0975952148438,514.3361373743452,511.4146175978324,513.0939956437096,4256300
2024-09-17,514.3361206054688,517.4662812737467,512.25923301292,516.1744660462931,8150000
2024-09-18,512.6666259765625,519.4437582787968,512.2293896779845,514.922374681891,6921300
2024-09-19,521.610107421875,523.2894856011926,518.9072359139436,521.5803275567283,5558400
2024-09-20,520.5865478515625,521.6199878875445,517.8438893371481,520.21887876898,5612700
2024-09-23,521.8684692382812,522.5243540721588,520.5369271962112,521.6995549362331,29289200
2024-09-24,523.3689575195312,523.5279856256968,520.0897154844224,522.7031865350233,4650600
2024-09-25,522.3056640625,523.9850420652515,521.3517380547975,523.2993774214902,35418000
2024-09-26,524.382568359375,526.5885829738498,522.1864399315866,526.3401546261953,5273900
2024-09-27,523.7037353515625,526.0861244552568,522.6471198052154,525.408301353866,5598600
2024-09-30,525.9863891601562,526.2755028185804,520.52389321993,522.6471020691906,8013000
2024-10-01,521.0721435546875,525.4182179998186,518.5701421900492,525.3584118685707,9198700
2024-10-02,521.161865234375,522.1785694305967,517.9222347490414,520.1849506703913,3270600
2024-10-03,520.175048828125,522.08890585833,518.1614743527566,519.895912990169,4008000
2024-10-04,524.9697265625,525.3385411955487,520.6335689062782,524.4812388210371,5354400
2024-10-07,520.2447509765625,524.0425922386282,519.1482850068887,523.4644866097391,3970500
2024-10-08,525.1690063476562,525.6973445313401,521.829719204672,522.6471102108665,2626700
